bg_load:城下町,town.jpg
chr_load:主人公,player.png
chr_load:老人,oldman.png
bgm_load:街中,town.mp3
bgm:街中
bg:城下町
chr:主人公,left
chr:老人,right
fade_in
wait:60
mes:老人,おや……あなたは奴隷の娘を助けるために魔物退治をすると言っていた方。<br>どうですじゃ？　その後は。
mes:主人公,うむ、思ったより稼げない仕事だな。<br>いや普通に仕事するよりは稼げるんだが……。<br>あの奴隷の娘、一千万ゴールドには到底及ばんな。
mes:老人,確かに魔物退治だけでは<br>一千万ゴールドを稼ぐのは無理があるかもしれませんな。<br>よし、ここは一つどうでしょう。わしの土地をあなたにあげましょう。
mes:主人公,土地だって？
mes:老人,そうです。土地とはいえ、ただの原野なのですが……。<br>そこを開拓して、新たな村を築けば莫大な収入が得られるはずですじゃ。
mes:老人,ホーム画面の右下に「街づくり」というボタンがあるのを知っていますかな？
mes:主人公,いや、どうだったかな……。<br>押しても何か注意文が出ただけのような気がするが……。
mes:老人,わしがあなたに土地を譲ったので、<br>そのボタンが押せるようになっているはずじゃ。<br>ホーム画面に戻ったら早速「街づくり」ボタンを押してみるとよかろう。
mes:老人,街に施設を設置してから<br>ダンジョンで戦闘を行えば、魔物退治の報酬の他に<br>街から税収が貰えるようになっているはずじゃ。
mes:主人公,そうか……。なんだか難しそうだな。
mes:老人,なぁに、ものすごくシンプルですぞ。<br>設置できる施設を適当に設置すれば良いだけですじゃ。
mes:主人公,そうだな！<br>「まずやってみる」だ！　俺は「まずやってみる」ことにするぜ！！
mes:老人,ほっほっほっ　その意気ですじゃ！
fade_out
