bg_load:洞窟,cave.jpg
chr_load:主人公,player.png
chr_load:騎士,knight.png
bgm_load:街中,town.mp3
bgm:街中
bg:洞窟
chr:主人公,left
chr:騎士,right
fade_in
wait:90
mes:アロウ,そこのお方、あのドラゴンを倒すとはなかなかの腕前のようだな。<br>私の名はアロウ、どうかあなたの名前も教えてはいただけないだろうか？
mes:主人公,俺の名前はルウだ。<br>（見ていたなら手伝ってくれても良いのに。）
mes:アロウ,ルウか……。聞いたことのない名だ。
mes:主人公,そうだな、俺は最近この街に戻ってきたばかりだからな。<br>君はもうここは長いのか？
mes:アロウ,あぁ。私はこの地のどこかにあるというソロモンの塔を探している。<br>もう何年になるだろうか。長いこと探している。
mes:主人公,ソロモンの塔？
mes:アロウ,そうだ。そこはかつてソロモン王が魔王を召喚したとされる塔。<br>なんでもすごいお宝が眠っているそうだ。<br>ただ……
mes:アロウ,そのソロモンの塔にたどり着くには 真の勇者 でなくてはならない<br>という伝説が残っているのだ。
mes:主人公,ほう、真の勇者か。<br>見たところ君もなかなか腕が立つようだが、それでも見つからないのか？
mes:アロウ,そうなのだ！　恐らくもう少しで見つかるとは思うのだが。<br>まさか私が 真の勇者 ではないということもないだろうし……
mes:主人公,根拠は分からんが凄い自信だな。
mes:アロウ,まぁ、ともかくだ。<br>もしソロモンの塔を見つけたら私にも教えてくれないだろうか。<br>冒険の途中にでも探してみてくれないか。
mes:主人公,いいだろう。どうせ魔物狩りにあちこち行く予定だしな。<br>よく分からんがソロモンの塔とやらを見つけたら教えるよ。
mes:アロウ,すまないな。私は街の宿に部屋をずっと借りている。<br>何かあったらそこまで来てくれ。
mes:アロウ,そうだ、お礼に君に属性について教えてあげよう。<br>君、装備の属性に気をつけているかね？
mes:主人公,属性？　いや意識したことはないな。
mes:アロウ,モンスターを倒すとたまに属性のついた装備が手に入るんだが<br>そういうのは良い レア装備 というのだ。
mes:アロウ,そしてモンスターにも属性があるのだ。<br>例えば火属性のモンスター相手には氷属性の武器で叩くと効果的だ。
mes:アロウ,逆に火属性のモンスターの攻撃を防ぐには、同じ火属性の防具を<br>装備していると、ダメージが半分になるぞ！
mes:アロウ,まぁ詳しいことは説明書でも読んでくれ！<br>じゃあな、ルウ！　縁があればまた会おう！
mes:主人公,あぁ、そうだな。アロウだったな。覚えておくよ。
fade_out
