bg_load:マンション,mansion.jpg
chr_load:主人公,player.png
chr_load:騎士,knight.png
bgm_load:街中,town.mp3
bgm:街中
bg:マンション
chr:主人公,left
chr:騎士,right
fade_in
wait:90
mes:アロウ,ルウ！　君もここに来ていたのか。
mes:主人公,（こいつはいつもボスを倒したタイミングで登場するな……）<br>あぁ、ここの魔物を狩るように頼まれてな。
mes:アロウ,私はこの館にソロモンの塔に関する本があると聞いてな。<br>それで来てみたんだが、ここはオバケが多くて怖いな。<br>正直、独りでいたくない。
mes:アロウ,どうだろうか、ちょっと館の探索に付き合ってくれないか？
mes:主人公,あぁ、いいだろう。二人でいれば心強いのは確かだからな。
mes:アロウ,今回はちゃんと礼はするぞ！　ふふふ！<br>君が喜ぶものを用意したのだ。
mes:主人公,ほう。楽しみにしておこう。
mes:アロウ,じゃあ早速行こう！　なんか本がありそうな部屋を探そう！！
mes:主人公,（アバウトだなぁ……）
fade_out
fade_in
mes:アロウ,ふむ。確かにソロモンの塔に関する記述がある本はあるが<br>その場所について書いてある本はなかったな。
mes:アロウ,しかし、大分ソロモンの塔について詳しく分かった。<br>ここに来た甲斐はあったな！！
mes:主人公,そうか、そいつはよかったな。<br>じゃあそろそろ帰ろうか。
mes:アロウ,あぁ！　待ちたまえ！！<br>今ここで礼を渡しておこう。<br>
mes:主人公,別に帰ってからでいいだろう。
mes:アロウ,まぁそう言うな。きっと気に入るぞ！　そら！！
mes:主人公,なんだコレは。
mes:アロウ,私の装備している鎧と同じ鎧だ！！　特注品だぞ！！<br>名付けて　アロウの鎧　だ！！　どうだ、格好いいだろう。
mes:主人公,あ、あぁ。そうだな。格好いいな。
mes:アロウ,防御力は 150 もある！　さらに光属性で、自動回復付きの　超レア装備　だ！！<br>ははははは、どうした？　もっと嬉しそうにしてもいいんだぞ。
mes:主人公,うん、性能は高いんだろうな……。<br>ただ、お前とお揃いの装備って微妙だな……って思って。
mes:アロウ,ははーん<br>たしかに憧れの 勇者 である私と同じ鎧を着るのは<br>少し気後れするかもしれないな！！
mes:アロウ,しかし気にするな！　君は私の親友じゃないか。<br>ということは君も立派な　勇者　だ！！
mes:主人公,（そういう意味じゃないんだけどなぁ）<br>分かった。ありがたく頂戴するよ。
mes:アロウ,君はいつも全裸だからな。<br>きっと喜ぶと思ったぞ。
mes:主人公,（イベント中に全裸なのは俺の趣味だ）
mes:アロウ,よし！　じゃあ帰るぞ！！　はははははは！！
fade_out
