bg_load:火山,volcano.jpg
chr_load:主人公,player.png
chr_load:騎士,knight.png
bgm_load:街中,town.mp3
bgm:街中
bg:火山
chr:主人公,left
chr:騎士,right
fade_in
wait:90
mes:主人公,（ボスを倒したから来ると思っていたぞ……）<br>よぉアロウ。お前もこんなところまで来ていたんだな。
mes:アロウ,……
mes:主人公,どうした？　いつもの元気がないな。
mes:アロウ,き、君は化物か！！　あんなデカいレッドドラゴンを一人で倒すなんて！！<br>前から強いとは思っていたが、ここまで強いとは思っていなかった。
mes:主人公,あぁ。なんか意外と倒せた。<br>やはり思いの強さが人を強くするのかもな。<br>なーんてな。
mes:アロウ,思いの強さ？<br>君はたしか金を稼ぐために魔物狩りをしているだけじゃなかったのか？
mes:主人公,たしかにそうなんだが、金を稼いでいるのは<br>奴隷にされている可哀想な娘を救うためなのさ。<br>法外な値段で売られていてね。
mes:アロウ,！！<br>そうだったのか！！<br>たしかに街でここらでは珍しい金髪の奴隷を見かけたことがある。
mes:アロウ,私は奴隷売買には興味がないから知らなかった。<br>そうか、君は大切な人が奴隷になってしまったから救おうとしているのだな。
mes:主人公,いや全然知らん。全くの他人だ。
mes:アロウ,なんだと！？　正気か、君は！！　他人の！！　たかが奴隷を救うために！！<br>命をかけてあんな魔物と戦っているというのか！！
mes:主人公,そういうことになるな。<br>お前は出身が良さそうだから奴隷なんて普通なんだろうが<br>俺の元々いた故郷じゃ奴隷なんかいなかった。
mes:主人公,俺の大切な故郷で奴隷売買だなんて汚い真似が許せなくてな。<br>それで何とかしてやろうと思ってるのさ。
mes:アロウ,たしかにこの地で奴隷が合法化されたのは最近だと聞いたが<br>君ほどの腕があれば力づくでなんとでもなるんじゃないのか？
mes:主人公,ははは。俺は犯罪者じゃあないんだぜ。<br>金で解決できるなら金で解決するさ。<br>幸い、俺を手助けしてくれる人もいることだしな。
mes:アロウ,君の高潔さには感服したよ。<br>たしかに私は奴隷など普通のことだと思っていた。<br>実家にもたくさんいたしな……。
mes:アロウ,君の強さの秘密はそこにあるのかもしれないな。<br>いや、もしかしたらそれこそが 真の勇者 に必要なものなのかもしれない……。
mes:主人公,おいおい。深く考えるなよ。俺はただやりたいことをやってるだけだぜ。<br>俺の座右の銘は「まずやってみる」だからな。<br>無理かもしれなくてもまずやってみるんだぜ！
mes:アロウ,ははは……。君は本当に規格外の男だ。<br>微力ながら私にも協力させてほしい。
mes:アロウ,今度会ったら、君に贈り物をしよう。<br>残念ながら金はそんなに用立てできないが、腕の良い鍛冶屋を知っていてね。<br>君に合った武器を贈らせてもらおう！！
mes:主人公,いいのか？　悪いな。<br>この間、格好いい鎧を貰ったばかりなのに。
mes:アロウ,なーに。お安い御用だ。<br>その代わり、また今度飯をおごってくれ！<br>はーはっはっは！
mes:主人公,あぁ、俺も楽しみにしておくぜ。
mes:アロウ,さてと……。そろそろ帰りたいんだが……。<br>独りで帰るのは怖いから一緒に帰らないか？
mes:主人公,もちろん良いぜ。<br>でもお前、どうやってここまで来たんだよ。
mes:アロウ,それはもう死ぬ思いで来たのだ……。<br>もう燃える牛に追い掛け回されるのは嫌だ……。
fade_out
