bg_load:タウン,town.jpg
chr_load:主人公,player.png
chr_load:騎士,knight.png
bgm_load:街中,town.mp3
bgm:街中
bg:タウン
chr:主人公,left
chr:騎士,right
fade_in
wait:90
mes:アロウ,ルウ！！　探していたぞ！！<br>ついに魔王城に乗り込むようだな！！
mes:主人公,よぅアロウ。久しぶりだな。<br>どうだ、また飯でも食いに行くか。
mes:アロウ,うむ。是非ご馳走に……。
mes:アロウ,ちがう！！　そうじゃないんだ。今日ここに来た理由は！！
mes:アロウ,だが飯にはあとで一緒に行こう。おごってくれ。<br>ここ3日ほど水しか飲んでなくてな……。
mes:主人公,ははは相変わらず飯に困ってるようだな。
mes:アロウ,君を探して理由はこれだ。<br>名付けて　アロウの剣　だ！！<br>私の使っている剣と同じデザインなのだ。
mes:アロウ,しかしその性能差は比べ物にならない。<br>私の使っている剣より数倍の性能を持つ最高の剣だ！！
mes:主人公,そんな良い物なら自分で使えば良いじゃないか。
mes:アロウ,いや是非君に使ってほしい。<br>高潔な君にこそ、この剣は使ってもらう価値がある。<br>アロウの鎧と同時に装備すると、まるで私のようになれるぞ。
mes:アロウ,ふふふ……。そうなったら君も 勇者 を名乗っても良い格好になれるな。<br>いいか、勇者には勇者にふさわしい格好というものがあるのだ。<br>性能がいいからってダサい装備をしていてはダメだぞ。
mes:主人公,そういうものか。<br>しかし俺ももうすぐで目標を達成できそうだ。<br>魔王も倒さにゃならんし。
mes:主人公,ありがたく頂戴するとしよう。
mes:アロウ,うむ。攻撃力 500 で 光属性だぞ！<br>魔王城には闇属性の魔物が多いだろうから<br>きっと君の役に立つはずだ！！
mes:アロウ,ついでに以前渡した アロウの鎧 の改良バージョンも渡しておこう！<br>以前のアロウの鎧では心もとないだろうからな。
mes:主人公,それは頼もしいな。<br>うむ良い剣だ。
mes:アロウ,……。
mes:アロウ,それはそうと、そろそろ飯に行かないか？<br>もう空腹で倒れそうなんだ……。
mes:主人公,はははは！　お前はそうでなくてな。<br>よし、今日は夜まで食べて飲もうじゃないか。
mes:アロウ,うむ。一週間分くらいは食べておかなくてはな！！<br>はーはっはっは。
fade_out
