bg_load:城下町,town.jpg
chr_load:主人公,player.png
chr_load:老人,oldman.png
pic_load:奴隷市場,opening.png
bgm_load:街中,town.mp3
bgm:街中
bg:城下町
chr:主人公,center
fade_in
wait:90
mes:ナレーション,長いこと旅に出ていたあなたは、久々に故郷の国に戻ってきた。<br>しかし街の様子がおかしい。<br>人通りが少なく、物音もしない。どこか荒涼としている。
mes:ナレーション,あなたは街の雰囲気から不気味な空気を感じた。<br>この国では何か良くないことが起こっている……！
chr_clear:center
chr:主人公,left
chr:老人,right
mes:老人,そこのお方……。<br>もしや旅の方ですかな？<br>（なんでこの人全裸なんじゃろ……？）
mes:あなた,いいや、俺も昔はこの国の人間だった。<br>長い旅から帰ってきたところだ。
mes:あなた,それよりご老人よ。この街の様子は何だ？<br>一体何が起こっている？
mes:老人,この国には今、魔王が攻めてきておりますのじゃ。<br>そのせいで物資は不足し、人も死んでいきます。<br>ですから、このように寂しい街になってしまったのです。
mes:あなた,……魔王！　噂には聞いたことがある。<br>あの凶暴な魔物を統べることのできる異様な魔物だとか。<br>なるほど、魔王のせいだったのか。
mes:老人,あれを見てご覧なさい。
pic:奴隷市場
wait:120
mes:あなた,なんてことだ。この国ではいつから奴隷が許されたんだ！<br>しかもあんな幼い子が！<br>値段も家を一軒買えるほどじゃないか！
mes:老人,長い不況下、ずる賢い商人が奴隷の売買をはじめたのです。<br>もうこの国は終わりですじゃ……
mes:あなた,なんとかすることはできないのか？<br>せめてあの娘だけでも！
pic_clear
mes:老人,さきほどから思っておりました。<br>あなたは随分、がっしりとした体をしている。<br>（それに全裸じゃし）
mes:老人,魔物を退治すれば国から褒賞金が出ます。<br>あなたならあるいは、魔物退治で金を稼いで<br>あの娘を助けることもできるかもしれません。
mes:あなた,なるほど、老人よ！<br>あなたは良いことを教えてくれた。<br>魔物退治のついでに魔王も退治してしまえば一石二鳥！<br>さすがはご老人、年の功ですな！
mes:老人,しかし大変危険なことですぞ。それでもやりなさるか？
mes:あなた,俺の座右の銘は「まずやってみる」だ！<br>だから俺は「まずやってみる」ことにするぜ！！
mes:老人,ほっほっほっ　この国にも、まだあなたのような若者がおるとは。<br>わしは嬉しい。
mes:老人,これはせめてもの手向けですじゃ。<br>あなたの助けになると良いが。
mes:あなた,おお！　これは薬草ではないか！<br>良いのか、5枚もあるではないか。
mes:老人,いいのですじゃ。ぜひともこの国を救ってくだされ！<br>それが無理ならせめてあの娘でも。
mes:あなた,いいですとも！
fade_out
