bg_load:城内,guild.jpg
chr_load:主人公,player_hero.png
chr_load:魔王,maoh.png
chr_load:マリア,maria.png
bgm_load:街中,town.mp3
bgm:街中
bg:城内
chr:主人公,left
chr:マリア,center
chr:魔王,right
fade_in
wait:90
mes:まおー,お前、結婚したんだってな。
mes:主人公,やぶから棒になんだ。お前から俺の城に来るのは珍しいな。
mes:まおー,おー、それが嫁さんか。美人だなー。<br>私と同じく金髪碧眼の一族か。ということは西の国の出身かぁ。<br>同郷の人間は久しぶりに見たなあ。
mes:マリア,まぁ。あなたも西国の出身なのですか。<br>あぁ、どうりで魔王などやられているわけですね。
mes:まおー,そうなのだ。まぁやりたくもないのだが、仕方なくな。
mes:主人公,どういうことだ？
mes:マリア,西の国の金髪碧眼の一族は魔力を使役する能力があるんです。<br>だから魔物を抑えることができるんです。
mes:まおー,そういうことなのだ。<br>私が魔王をやっているからこそ魔物がそんなに暴れてないんだぞ。
mes:主人公,結構暴れてる気がするんだが……。<br>え？　じゃあなんで俺と戦ったの？
mes:まおー,趣味だ。
mes:主人公,趣味か。なら仕方ない。
mes:マリア,魔王さんは今日なにか主人に用事でもあったんですか？
mes:まおー,あ、そうそう。<br>まぁこいつの嫁さんを見たいってのもあったんだけど。<br>最近、ソロモンの塔の様子がおかしくてな。
mes:主人公,ソロモンの塔？　アロウが探していた塔か。<br>場所を知っているのか？
mes:まおー,まぁ一応魔王だし。<br>そこでお前にちょっと様子を見てきてほしいんだ。
mes:主人公,なんで俺が行かなきゃいけないんだ。<br>まぁ、いいぜ。行ってやる。
mes:まおー,話が早くて助かる。<br>いや簡単な話だ。あそこには私より強い魔物がいて<br>お前ほどの強さがないと近づけないんだ。
mes:主人公,なるほど。俺の力が必要ってわけだな。<br>どうなるか分からんが「まずやってみる」ぜ！！
mes:マリア,あなた……。気をつけていってきてくださいね。
mes:主人公,ありがとう。心配はいらないよ。<br>さっと行ってさっと帰って来るさ。
mes:まおー,ふふふ……、そう簡単にいくかな？
mes:主人公,お前、やっぱり何かたくらんでるだろ。
mes:まおー,滅相もありません。
mes:まおー,では、さらばだー！！
fade_out
