bg_load:タワー,tower.jpg
chr_load:主人公,player_hero.png
chr_load:アロウ,knight2.png
bgm_load:BGM,opening.mp3
bgm:BGM
bg:タワー
chr:主人公,left
chr:アロウ,right
fade_in
wait:90
mes:主人公,……ハァハァ。<br>やっと最上階についたぞ……。
mes:アロウ,……ルウか。久しぶりだな。<br>お前もソロモンの塔を見つけたか……。<br>さすが真の勇者だな。
mes:主人公,アロウか。少し雰囲気が変わったな。<br>お前もソロモンの塔を見つけていたか。よかった。<br>お目当てのお宝は見つかったか？
mes:アロウ,くっくっく……。その名を呼ばれるのも久しぶりだ。<br>あぁ、お宝な見つかったよ。このソロモンの指環がな。
mes:主人公,見つかったならさっさと帰れよ。<br>ここは何か危ないそうだ。やたら強い魔物がいたしな。
mes:アロウ,あぁあの魔物は私が召喚したのだよ。倒してきたのか。<br>相変わらず強い男だな、君は……。
mes:主人公,はっはっは、まぁな。<br>だてに領主をやってないからな。
mes:アロウ,そんな強いお前と、今の私とどちらが強いのかな。
mes:主人公,さぁな。数年の内にお前も雰囲気が変わったからな。<br>それに最上階にいたわけだし、お前も強いんじゃないか。
mes:アロウ,くっくっく……。試してみようではないか。<br>剣をとれ！　ルウ！！
mes:主人公,！？<br>お前と戦う理由なんてないぞ！！
mes:アロウ,まずはやってみせろ！！　行くぞ！！
scene:1,7
fade_out
